id,name,source
IC1,Accelerated,sap-icon://accelerated
IC2,Accept,sap-icon://accept
IC3,Accidental leave,sap-icon://accidental-leave
IC4,Account,sap-icon://account
IC5,Accounting document verification,sap-icon://accounting-document-verification
IC6,Action,sap-icon://action
IC7,Action settings,sap-icon://action-settings
IC8,Activate,sap-icon://activate
IC9,Activities,sap-icon://activities
IC10,Activity 2,sap-icon://activity-2
IC11,Activity assigned to goal,sap-icon://activity-assigned-to-goal
IC12,Activity individual,sap-icon://activity-individual
IC13,Activity items,sap-icon://activity-items
IC14,Add,sap-icon://add
IC15,Add activity,sap-icon://add-activity
IC16,Add activity 2,sap-icon://add-activity-2
IC17,Add contact,sap-icon://add-contact
IC18,Add coursebook,sap-icon://add-coursebook
IC19,Add document,sap-icon://add-document
IC20,Add employee,sap-icon://add-employee
IC21,Add equipment,sap-icon://add-equipment
IC22,Add favorite,sap-icon://add-favorite
IC23,Add filter,sap-icon://add-filter
IC24,Add folder,sap-icon://add-folder
IC25,Add photo,sap-icon://add-photo
IC26,Add process,sap-icon://add-process
IC27,Add product,sap-icon://add-product
IC28,Address book,sap-icon://address-book
IC29,Addresses,sap-icon://addresses
IC30,Alert,sap-icon://alert
IC31,Along stacked chart,sap-icon://along-stacked-chart
IC32,Alphabetical order,sap-icon://alphabetical-order
IC33,Appear offline,sap-icon://appear-offline
IC34,Appointment,sap-icon://appointment
IC35,Appointment 2,sap-icon://appointment-2
IC36,Approvals,sap-icon://approvals
IC37,Area chart,sap-icon://area-chart
IC38,Arobase,sap-icon://arobase
IC39,Arrow bottom,sap-icon://arrow-bottom
IC40,Arrow down,sap-icon://arrow-down
IC41,Arrow left,sap-icon://arrow-left
IC42,Arrow right,sap-icon://arrow-right
IC43,Arrow top,sap-icon://arrow-top
IC44,Attachment,sap-icon://attachment
IC45,Attachment audio,sap-icon://attachment-audio
IC46,Attachment e pub,sap-icon://attachment-e-pub
IC47,Attachment html,sap-icon://attachment-html
IC48,Attachment photo,sap-icon://attachment-photo
IC49,Attachment text file,sap-icon://attachment-text-file
IC50,Attachment video,sap-icon://attachment-video
IC51,Attachment zip file,sap-icon://attachment-zip-file
IC52,Away,sap-icon://away
IC53,Back to top,sap-icon://back-to-top
IC54,Background,sap-icon://background
IC55,Badge,sap-icon://badge
IC56,Bar chart,sap-icon://bar-chart
IC57,Bar code,sap-icon://bar-code
