id,role,setName,createAllowed,readAllowed,updateAllowed,deleteAllowed
1,2,OptionSet,TRUE,TRUE,TRUE,TRUE
2,2,OperatorSet,FALSE,TRUE,FALSE,FALSE
3,2,QuestionSet,TRUE,TRUE,TRUE,TRUE
4,2,ConditionSet,TRUE,TRUE,TRUE,TRUE
5,2,ActionSet,FALSE,TRUE,FALSE,FALSE
6,2,UserSet,TRUE,TRUE,TRUE,TRUE
7,2,AnswerSet,TRUE,TRUE,TRUE,TRUE
8,2,FormSet,TRUE,TRUE,TRUE,TRUE
9,2,RegexSet,FALSE,TRUE,FALSE,FALSE
10,2,IconSet,FALSE,TRUE,FALSE,FALSE
11,2,QtypeSet,FALSE,TRUE,FALSE,FALSE
12,2,SurveySet,TRUE,TRUE,TRUE,TRUE
13,2,RoleSet,TRUE,TRUE,TRUE,TRUE
14,1,OptionSet,FALSE,TRUE,FALSE,FALSE
15,1,OperatorSet,FALSE,TRUE,FALSE,FALSE
16,1,QuestionSet,FALSE,TRUE,FALSE,FALSE
17,1,ConditionSet,FALSE,TRUE,FALSE,FALSE
18,1,ActionSet,FALSE,TRUE,FALSE,FALSE
19,1,UserSet,FALSE,TRUE,FALSE,FALSE
20,1,AnswerSet,TRUE,TRUE,FALSE,FALSE
21,1,FormSet,FALSE,TRUE,FALSE,FALSE
22,1,RegexSet,FALSE,TRUE,FALSE,FALSE
23,1,IconSet,FALSE,TRUE,FALSE,FALSE
24,1,QtypeSet,FALSE,TRUE,FALSE,FALSE
25,1,SurveySet,TRUE,TRUE,TRUE,FALSE
26,1,RoleSet,FALSE,FALSE,FALSE,FALSE
