id,sequence,question,mandatory,randomWeight,qtype,form,deleted,regex
1,1,Are you satisfied from your salary?,TRUE,1,QT2,1,FALSE,
2,2,How do you suggest this company to others?,FALSE,0.8,QT1,1,FALSE,
3,3,What best describes your colleagues?,FALSE,1,QT4,1,FALSE,
4,4,Any other sharing comment,FALSE,1,QT6,1,FALSE,
5,1,How do you like working with him or her?,FALSE,1,QT1,2,FALSE,
6,2,Do you like your manager?,TRUE,1,QT2,2,FALSE,
7,5,What do you think about the office location?,TRUE,1,QT5,1,TRUE,
8,6,What do you think about the restaurants nearby?,TRUE,1,QT6,1,FALSE,
9,1,Which transportation do you use to come to the office?,TRUE,1,QT4,3,FALSE,
10,2,How  often are you on business trips?,TRUE,1,QT4,3,FALSE,
11,3,How many hours are you on traveling usually per month?,TRUE,1,QT5,3,FALSE,
12,4,Any other sharing comment,TRUE,1,QT6,3,TRUE,
13,1,Do you use a Mac or Windows device?,TRUE,1,QT3,4,FALSE,
14,3,Describe your hardware,TRUE,1,QT6,4,FALSE,
15,2,Are you satisfied with your hardware?,TRUE,1,QT2,4,FALSE,
16,5,Rate your hardware,TRUE,1,QT1,4,TRUE,
17,4,Any other sharing comment,TRUE,1,QT6,4,FALSE,
18,7,How motivated are you to see the company succeed?,TRUE,1,QT3,1,TRUE,
19,8,Which of the following describes the variety of tasks required by your position?,TRUE,1,QT3,1,TRUE,
20,3,What are the things you like about your manager’s leadership style?,FALSE,1,QT6,2,FALSE,
21,1,How long have you been working for the company?,TRUE,1,QT4,5,TRUE,
22,2,What is your job function?,TRUE,0.7,QT4,5,TRUE,
23,3,"If you have ever offered suggestions to management, how satisfied were you with the response?",TRUE,1,QT1,5,FALSE,
24,4,Do you believe your manager lives by your company's ethics?,TRUE,1,QT2,5,FALSE,
25,5,Which of the following statements apply to your immediate boss/superior?,TRUE,1,QT4,5,TRUE,
26,6,What suggestions do you have for your boss/supervisor that would help him/her be a more effective manager?,FALSE,1,QT6,5,FALSE,
27,7,"Overall, how satisfied are you with the company you work for?",TRUE,1,QT3,5,FALSE,
28,1,How comfortable is your employer's work environment?,TRUE,1,QT3,6,FALSE,
29,2,Are you satisfied with your options for getting to and from work?,TRUE,1,QT3,6,FALSE,
30,3,Does your employer provide you with the health insurance?,TRUE,1,QT2,6,FALSE,
31,4,Is your employer's health insurance plan better or worse than those of other employers?,TRUE,1,QT7,6,FALSE,
32,5,How are you satisfied with your employer's sick day policy?,TRUE,1,QT1,6,TRUE,
33,6,"In general, are you satisfied with your employee benefits?",TRUE,1,QT3,6,TRUE,
34,1,Please rate the content of the webinar,TRUE,1,QT1,7,FALSE,
35,1,Please rate the technical implementation of this webinar,TRUE,1,QT1,7,FALSE,
36,1,Please rate the presentation of the webinar,TRUE,1,QT1,7,FALSE,
37,1,Would you participate again?,TRUE,1,QT2,7,FALSE,
38,1,Would you recommend our cimt webinar?,TRUE,1,QT2,7,FALSE,
39,1,Which topics would you like to get presented about SAPUI5 / SAP Fiori?,FALSE,1,QT4,7,FALSE,
40,1,Did you ever implemented SAPUI5 / SAP  Fiori Apps in  your organization?,TRUE,1,QT2,7,FALSE,
41,1,Do you plan to develop SAPUI5 / SAP Fiori Apps in the future?,TRUE,1,QT2,7,FALSE,
42,1,"Do you plan any projects in the near future, where you need some support?",TRUE,1,QT2,7,FALSE,
43,1,Which topics and technologies of SAP would be interesting for you?,FALSE,1,QT4,7,FALSE,
44,1,Do you have any other feedback for us?,FALSE,1,QT6,7,FALSE,
45,1,Please enter your E-Mail address:,FALSE,1,QT5,7,FALSE,"^(([^<>()\\[\\]\\\\.,;:\\s@""]+(\\.[^<>()\\[\\]\\\\.,;:\\s@""]+)*)|("".+""))@((\\[[0-9]{1,3}\\.[0-9]{1,3}\\.[0-9]{1,3}\\.[0-9]{1,3}\\])|(([a-zA-Z\\-0-9]+\\.)+[a-zA-Z]{2,}))$"
46,1,Please enter your name:,FALSE,1,QT5,7,FALSE,"^[a-zA-ZöäüßÖÄÜ\\s]{0,100}$"
